kappa_lo,lambda_margin
-0.3845,0.0755421221245634
-0.384,0.07560740155536409
-0.3835,0.07567254737510529
-0.383,0.0757378106421038
-0.3825,0.07580305683835244
-0.382,0.07586829886356794
-0.3815,0.07593354026979657
-0.381,0.07599876821899752
-0.3805,0.07606398862299432
-0.38,0.07612920501263468
-0.3795,0.07619441176835584
-0.379,0.07625961689085824
-0.3785,0.07632480153090716
-0.378,0.07638999117394414
-0.3775,0.07645517304087757
-0.377,0.07652034144809763
-0.3765,0.07658550528804223
-0.376,0.07665065945320362
-0.3755,0.07671580556682632
-0.375,0.0767809551370334
-0.3745,0.07684608209912473
-0.374,0.07691120651935193
-0.3735,0.07697632891098585
-0.373,0.07704143761616034
-0.3725,0.07710654659235408
-0.372,0.07717163743736495
-0.3715,0.07723672521210258
-0.371,0.07730181660755141
-0.3705,0.07736687970098804
-0.37,0.07743195093687381
-0.3695,0.0774970117184311
-0.369,0.07756206074431851
-0.3685,0.07762710472234266
-0.368,0.07769214399120454
-0.3675,0.0777571673480304
-0.367,0.07782219278854752
-0.3665,0.07788720145847948
-0.366,0.07795221246448028
-0.3655,0.07801721230521522
-0.365,0.07808220167385739
-0.3645,0.078147188105536
-0.364,0.07821216381779664
-0.3635,0.07827712933812943
-0.363,0.07834209871752226
-0.3625,0.07840704247479746
-0.362,0.07847199056364874
-0.3615,0.07853693260778524
-0.361,0.07860186139995641
-0.3605,0.07866678866206517
-0.36,0.07873170195417123
-0.3595,0.07879660792695778
-0.359,0.07886151755496808
-0.3585,0.07892640126154515
-0.358,0.07899128911932851
-0.3575,0.07905616556822266
-0.357,0.07912103513179619
-0.3565,0.07918590801700714
-0.356,0.07925075499691878
-0.3555,0.07931560365408749
-0.355,0.0793804436520043
-0.3545,0.07944527325780286
-0.354,0.07951010531612762
-0.3535,0.07957492123962202
-0.353,0.07963972570444378
-0.3525,0.07970453068579804
-0.352,0.07976932301548562
-0.3515,0.07983410215019068
-0.351,0.07989889279674418
-0.3505,0.07996366366337658
-0.35,0.013248563508133877
-0.3495,0.013332886544999664
-0.349,0.0134171884962691
-0.3485,0.013501476707876955
-0.348,0.013126604586053654
-0.3475,0.013210973385642956
-0.347,0.013295329933059846
-0.3465,0.01337964187616075
-0.346,0.01300541005124322
-0.3455,0.013089814141052898
-0.345,0.013174194136608565
-0.3445,0.013258561151624885
-0.344,0.012884941487729491
-0.3435,0.012969382178176657
-0.343,0.013053813712246762
-0.3425,0.013138223120369654
-0.342,0.012765222295783078
-0.3415,0.012849707619925156
-0.341,0.012934176280111377
-0.3405,0.01301862179073531
-0.34,0.012646238855260089
-0.3395,0.01273076952846545
-0.339,0.01281527433545913
-0.3385,0.01289976042200967
-0.338,0.012527998127429305
-0.3375,0.012612574901026664
-0.337,0.012697115266662439
-0.3365,0.012781649922529222
-0.336,0.012410508260472427
-0.3355,0.012495105962929794
-0.335,0.012579691580922807
-0.3345,0.012664259665834232
-0.334,0.01229374248982885
-0.3335,0.012378390797233069
-0.333,0.012463018396153575
-0.3325,0.012547619804546824
-0.332,0.012177718981606382
-0.3315,0.012262410921546207
-0.331,0.01234707445010511
-0.3305,0.0124317132771392
-0.33,0.01206244496017242
-0.3295,0.01214716408423353
-0.329,0.012231868877322074
-0.3285,0.012316552679253334
-0.328,0.011947894313432754
-0.3275,0.012032658837352387
-0.327,0.012117399242093532
-0.3265,0.012202117344420468
-0.326,0.011834081688338433
-0.3255,0.0119188866463957
-0.325,0.012003664883117297
-0.3245,0.01208842829308284
-0.324,0.01172100646764107
