kappa,alpha,gap
0.0,0.5,0.51537
0.0,0.5,0.35803
0.0,0.5,0.05373
0.0,0.5,1.07393
0.0,0.5,0.61991
0.0,0.5,0.21824
0.0,0.5,0.47459
0.0,0.5,0.98893
0.0,0.5,0.00302
0.0,0.5,0.38295
0.0,0.5,1.70355
0.0,0.5,0.94377
0.0,0.5,1.75538
0.0,0.5,0.3817
0.0,0.5,0.69912
0.0,0.5,0.05768
0.0,0.5,1.57791
0.0,0.5,1.92049
0.0,0.5,0.68861
0.0,0.5,0.82449
0.0,0.5,0.39321
0.0,0.5,2.26125
0.0,0.5,0.12911
0.0,0.5,0.31454
0.0,0.5,0.72301
0.0,0.5,0.43135
0.0,0.5,0.27282
0.0,0.5,0.70832
0.0,0.5,0.20196
0.0,0.5,2.1282
0.0,0.5,0.593
0.0,0.5,0.33118
0.0,0.5,0.41713
0.0,0.5,0.02737
0.0,0.5,0.28819
0.0,0.5,0.8082
0.0,0.5,0.53626
0.0,0.5,0.29644
0.0,0.5,0.97474
0.0,0.5,0.96508
0.0,0.5,1.30431
0.0,0.5,0.02829
0.0,0.5,0.95254
0.0,0.5,1.27447
0.0,0.5,0.46955
0.0,0.5,0.11855
0.0,0.5,1.06924
0.0,0.5,0.85444
0.0,0.5,0.90508
0.0,0.5,1.03797
0.0,0.5,0.49893
0.0,0.5,1.11971
0.0,0.5,0.58982
0.0,0.5,0.46373
0.0,0.5,0.67555
0.0,0.5,0.47128
0.0,0.5,0.32068
0.0,0.5,0.55187
0.0,0.5,0.57142
0.0,0.5,0.06974
0.0,0.5,0.7598
0.0,0.5,1.38605
0.0,0.5,0.77706
0.0,0.5,1.80828
0.0,0.5,0.34523
0.0,0.5,0.63567
0.0,0.5,0.37439
0.0,0.5,0.56068
0.0,0.5,1.64965
0.0,0.5,0.33651
0.0,0.5,1.29161
0.0,0.5,1.12742
0.0,0.5,0.71795
0.0,0.5,1.6597
0.0,0.5,0.51343
0.0,0.5,0.84964
0.0,0.5,0.798
0.0,0.5,0.53737
0.0,0.5,0.73935
0.0,0.5,0.58018
0.0,0.5,0.94412
0.0,0.5,0.40718
0.0,0.5,0.21347
0.0,0.5,1.0451
0.0,0.5,0.12313
0.0,0.5,2.18833
0.0,0.5,0.50941
0.0,0.5,0.58916
0.0,0.5,0.09841
0.0,0.5,0.10985
0.0,0.5,1.1545
0.0,0.5,1.14266
0.0,0.5,1.8557
0.0,0.5,1.42516
0.0,0.5,0.11954
0.0,0.5,0.46211
0.0,0.5,0.5458
0.0,0.5,1.30418
0.0,0.5,1.56687
0.0,0.5,0.74821
0.0,0.5,1.49426
0.0,0.5,0.74091
0.0,0.5,1.06794
0.0,0.5,0.15139
0.0,0.5,0.31843
0.0,0.5,1.47613
0.0,0.5,0.5028
0.0,0.5,0.06587
0.0,0.5,0.40644
0.0,0.5,2.01442
0.0,0.5,0.03081
0.0,0.5,0.04241
0.0,0.5,0.20701
0.0,0.5,0.4807
0.0,0.5,0.51645
0.0,0.5,2.59244
0.0,0.5,0.04743
0.0,0.5,0.71973
0.0,0.5,1.20171
0.0,0.5,0.87447
0.0,0.5,0.27299
0.0,0.5,1.88499
0.0,0.5,0.1013
0.0,0.5,0.25517
0.0,0.5,0.03817
0.0,0.5,0.34049
0.0,0.5,0.85075
0.0,0.5,0.09003
0.0,0.5,0.51526
0.0,0.5,2.35744
0.0,0.5,0.19238
0.0,0.5,2.49917
0.0,0.5,0.44538
0.0,0.5,0.22616
0.0,0.5,1.72568
0.0,0.5,0.41636
0.0,0.5,0.09994
0.0,0.5,0.00864
0.0,0.5,0.06944
0.0,0.5,1.92266
0.0,0.5,0.96092
0.0,0.5,0.8778
0.0,0.5,1.74164
0.0,0.5,0.94536
0.0,0.5,0.1839
0.0,0.5,0.20563
0.0,0.5,0.14091
0.0,0.5,0.31902
0.0,0.5,0.48642
0.0,0.5,1.08953
0.0,0.5,0.5352
0.0,0.5,0.30247
0.0,0.5,2.24327
0.0,0.5,0.73699
0.0,0.5,0.16851
0.0,0.5,0.50558
0.0,0.5,0.36322
0.0,0.5,0.50541
0.0,0.5,0.47675
0.0,0.5,0.51425
0.0,0.5,0.06167
0.0,0.5,0.29949
0.0,0.5,0.10474
0.0,0.5,1.49169
0.0,0.5,0.14123
0.0,0.5,0.15826
0.0,0.5,0.24769
0.0,0.5,0.64146
0.0,0.5,0.10422
0.0,0.5,0.60072
0.0,0.5,2.41331
0.0,0.5,0.31979
0.0,0.5,1.88102
0.0,0.5,1.27672
0.0,0.5,1.16302
0.0,0.5,0.85736
0.0,0.5,0.55188
0.0,0.5,2.71185
0.0,0.5,0.18067
0.0,0.5,0.7199
0.0,0.5,0.80133
0.0,0.5,1.19579
0.0,0.5,0.13809
0.0,0.5,0.19785
0.0,0.5,0.8573
0.0,0.5,0.88707
0.0,0.5,0.27715
0.0,0.5,0.09067
0.0,0.5,0.95995
0.0,0.5,0.52253
0.0,0.5,0.31735
0.0,0.5,0.27659
0.0,0.5,2.68769
0.0,0.5,0.35165
0.0,0.5,0.98453
0.0,0.5,1.46122
0.0,0.5,1.41032
0.0,0.5,0.00085
0.0,0.5,1.24701
0.0,0.5,0.16956
0.0,0.5,0.23796
0.0,0.5,0.32814
0.0,0.5,0.33174
0.0,0.5,0.83535
0.0,0.5,0.55852
0.0,0.5,0.22689
0.0,0.5,0.25272
0.0,0.5,0.99773
0.0,0.5,1.34937
0.0,0.5,0.14268
0.0,0.5,0.02891
0.0,0.5,1.53584
0.0,0.5,0.77062
0.0,0.5,1.00393
0.0,0.5,1.7566
0.0,0.5,0.53235
0.0,0.5,0.14407
0.0,0.5,0.78307
0.0,0.5,0.13067
0.0,0.5,0.23002
0.0,0.5,1.46899
0.0,0.5,1.15946
0.0,0.5,0.78878
0.0,0.5,1.37692
0.0,0.5,0.51369
0.0,0.5,2.21838
0.0,0.5,1.28908
0.0,0.5,0.36952
0.0,0.5,0.20503
0.0,0.5,1.00841
0.0,0.5,0.50436
0.0,0.5,0.29866
0.0,0.5,0.28999
0.0,0.5,1.50544
0.0,0.5,0.69001
0.0,0.5,0.58867
0.0,0.5,0.11017
0.0,0.5,0.45743
0.0,0.5,1.20122
0.0,0.5,2.1182
0.0,0.5,1.94833
0.0,0.5,0.76756
0.0,0.5,0.57125
0.0,0.5,1.12734
0.0,0.5,1.40451
0.0,0.5,1.87355
0.0,0.5,2.03806
0.0,0.5,0.31139
0.0,0.5,1.6503
0.0,0.5,1.08464
0.0,0.5,1.21581
0.0,0.5,0.23227
0.0,0.5,0.81161
0.0,0.5,0.47892
0.0,0.5,0.01832
0.0,0.5,0.75179
0.0,0.5,0.08742
0.0,0.5,0.17844
0.0,0.5,0.70073
0.0,0.5,0.04218
0.0,0.5,1.22318
0.0,0.5,0.60556
0.0,0.5,1.2298
0.0,0.5,0.03453
0.0,0.5,0.04655
0.0,0.5,0.00522
0.0,0.5,0.12545
0.0,0.5,0.41473
0.0,0.5,0.82651
0.0,0.5,0.15073
0.0,0.5,0.82267
0.0,0.5,0.90056
0.0,0.5,2.16261
0.0,0.5,0.04349
0.0,0.5,0.37408
0.0,0.5,0.14448
0.0,0.5,0.99683
0.0,0.5,0.31793
0.0,0.5,0.5612
0.0,0.5,0.18694
0.0,0.5,0.33022
0.0,0.5,0.37662
0.0,0.5,0.38878
0.0,0.5,0.4749
0.0,0.5,0.94815
0.0,0.5,1.48859
0.0,0.5,0.52785
0.0,0.5,1.0201
0.0,0.5,0.64977
0.0,0.5,0.87455
0.0,0.5,0.57409
0.0,0.5,0.55107
0.0,0.5,1.24868
0.0,0.5,0.41342
0.0,0.5,1.56634
0.0,0.5,0.2335
0.0,0.5,0.0264
0.0,0.5,1.11789
0.0,0.5,1.2406
0.0,0.5,0.57565
0.0,0.5,0.48323
0.0,0.5,1.17363
0.0,0.5,1.48456
0.0,0.5,0.20344
0.0,0.5,0.39258
0.0,0.5,0.04033
0.0,0.5,2.09267
0.0,0.5,0.64979
0.0,0.5,0.49417
0.0,0.5,0.65697
0.0,0.5,0.92644
0.0,0.5,0.07413
0.0,0.5,0.37154
0.0,0.5,0.62795
0.0,0.5,0.0493
0.0,0.5,0.31345
0.0,0.5,0.68907
0.0,0.5,0.33376
0.0,0.5,1.80709
0.0,0.5,1.11903
0.0,0.5,1.23942
0.0,0.5,1.01102
0.0,0.5,0.19174
0.0,0.5,0.64969
0.0,0.5,0.05542
0.0,0.5,1.15953
0.0,0.5,1.62418
0.0,0.5,1.12304
0.0,0.5,0.57783
0.0,0.5,0.50318
0.0,0.5,0.91228
0.0,0.5,2.34654
0.0,0.5,0.33895
0.0,0.5,0.80726
0.0,0.5,0.18882
0.0,0.5,0.37202
0.0,0.5,0.27536
