kappa,alpha,gap
0.0,0.5,1.20134
0.0,0.5,0.03185
0.0,0.5,2.31841
0.0,0.5,0.09427
0.0,0.5,0.52441
0.0,0.5,0.55474
0.0,0.5,0.76245
0.0,0.5,0.1558
0.0,0.5,1.07831
0.0,0.5,0.68252
0.0,0.5,0.24667
0.0,0.5,0.02601
0.0,0.5,0.41511
0.0,0.5,0.38301
0.0,0.5,0.35009
0.0,0.5,1.83998
0.0,0.5,0.00421
0.0,0.5,0.3572
0.0,0.5,2.29282
0.0,0.5,0.16019
0.0,0.5,0.37703
0.0,0.5,0.89272
0.0,0.5,0.17541
0.0,0.5,0.1807
0.0,0.5,0.53029
0.0,0.5,0.8446
0.0,0.5,1.07672
0.0,0.5,0.08618
0.0,0.5,0.77072
0.0,0.5,0.42108
0.0,0.5,1.37584
0.0,0.5,1.15537
0.0,0.5,0.5938
0.0,0.5,0.79882
0.0,0.5,1.04648
0.0,0.5,1.20496
0.0,0.5,0.61542
0.0,0.5,0.61966
0.0,0.5,0.83025
0.0,0.5,0.03544
0.0,0.5,0.31211
0.0,0.5,0.15865
0.0,0.5,1.17582
0.0,0.5,0.24916
0.0,0.5,0.08926
0.0,0.5,0.67836
0.0,0.5,0.22623
0.0,0.5,0.04222
0.0,0.5,2.1379
0.0,0.5,0.69991
0.0,0.5,0.81797
0.0,0.5,0.77678
0.0,0.5,1.16177
0.0,0.5,0.66095
0.0,0.5,0.79894
0.0,0.5,1.02602
0.0,0.5,1.23842
0.0,0.5,2.01305
0.0,0.5,0.87516
0.0,0.5,0.65206
0.0,0.5,0.23875
0.0,0.5,0.1913
0.0,0.5,0.20391
0.0,0.5,0.0704
0.0,0.5,1.02564
0.0,0.5,0.0375
0.0,0.5,1.13359
0.0,0.5,0.94632
0.0,0.5,0.38283
0.0,0.5,0.8997
0.0,0.5,0.41415
0.0,0.5,0.70375
0.0,0.5,0.12096
0.0,0.5,0.66406
0.0,0.5,0.70943
0.0,0.5,0.30484
0.0,0.5,0.50199
0.0,0.5,0.5994
0.0,0.5,0.05768
0.0,0.5,0.3219
0.0,0.5,1.52453
0.0,0.5,0.21688
0.0,0.5,0.78235
0.0,0.5,0.56275
0.0,0.5,0.66149
0.0,0.5,0.59526
0.0,0.5,0.76644
0.0,0.5,0.0018
0.0,0.5,1.05243
0.0,0.5,1.4599
0.0,0.5,1.22947
0.0,0.5,0.05866
0.0,0.5,0.4499
0.0,0.5,0.84435
0.0,0.5,0.11072
0.0,0.5,0.59963
0.0,0.5,0.43237
0.0,0.5,0.57235
0.0,0.5,0.1721
0.0,0.5,1.35585
0.0,0.5,0.71133
0.0,0.5,0.06762
0.0,0.5,0.27254
0.0,0.5,0.50456
0.0,0.5,1.00327
0.0,0.5,0.76857
0.0,0.5,0.42523
0.0,0.5,1.82312
0.0,0.5,0.22058
0.0,0.5,0.41339
0.0,0.5,0.65546
0.0,0.5,0.8578
0.0,0.5,0.30666
0.0,0.5,0.42328
0.0,0.5,0.20245
0.0,0.5,0.28492
0.0,0.5,0.01619
0.0,0.5,0.5625
0.0,0.5,0.67845
0.0,0.5,0.87592
0.0,0.5,0.2615
0.0,0.5,1.24198
0.0,0.5,0.63897
0.0,0.5,0.08265
0.0,0.5,0.21362
0.0,0.5,1.57518
0.0,0.5,0.11701
0.0,0.5,0.21148
0.0,0.5,0.63412
0.0,0.5,0.21999
0.0,0.5,0.53826
0.0,0.5,0.7734
0.0,0.5,0.68483
0.0,0.5,0.4013
0.0,0.5,1.39434
0.0,0.5,0.83659
0.0,0.5,1.86004
0.0,0.5,0.9965
0.0,0.5,0.19699
0.0,0.5,0.1455
0.0,0.5,0.79869
0.0,0.5,0.74294
0.0,0.5,1.38025
0.0,0.5,0.49046
0.0,0.5,1.0795
0.0,0.5,0.1752
0.0,0.5,0.35083
0.0,0.5,1.58434
0.0,0.5,0.48187
0.0,0.5,0.31952
0.0,0.5,0.19379
0.0,0.5,0.09154
0.0,0.5,1.13574
0.0,0.5,0.68301
0.0,0.5,0.48032
0.0,0.5,0.30278
0.0,0.5,1.72414
0.0,0.5,0.21307
0.0,0.5,0.50049
0.0,0.5,0.58709
0.0,0.5,0.96768
0.0,0.5,2.34944
0.0,0.5,1.63434
0.0,0.5,0.67613
0.0,0.5,1.24906
0.0,0.5,0.17474
0.0,0.5,1.25638
0.0,0.5,0.3362
0.0,0.5,0.10403
0.0,0.5,0.50726
0.0,0.5,0.32332
0.0,0.5,1.0614
0.0,0.5,0.0164
0.0,0.5,0.3944
0.0,0.5,0.72071
0.0,0.5,1.9718
0.0,0.5,0.74904
0.0,0.5,1.35746
0.0,0.5,0.02673
0.0,0.5,1.34568
0.0,0.5,0.0833
0.0,0.5,0.98821
0.0,0.5,0.19334
0.0,0.5,0.76514
0.0,0.5,0.36007
0.0,0.5,1.22804
0.0,0.5,0.79618
0.0,0.5,0.44391
0.0,0.5,0.82805
0.0,0.5,0.72816
0.0,0.5,0.1602
0.0,0.5,0.21076
0.0,0.5,1.1321
0.0,0.5,0.00085
0.0,0.5,0.50149
0.0,0.5,0.33897
0.0,0.5,0.22646
0.0,0.5,0.80738
0.0,0.5,1.78309
0.0,0.5,1.10457
0.0,0.5,1.01699
0.0,0.5,0.02686
0.0,0.5,0.78689
0.0,0.5,2.45246
0.0,0.5,0.01628
0.0,0.5,0.36886
0.0,0.5,0.5803
0.0,0.5,1.14411
0.0,0.5,0.1335
0.0,0.5,1.63409
0.0,0.5,1.45807
0.0,0.5,0.37469
0.0,0.5,0.05682
0.0,0.5,2.04116
0.0,0.5,0.36619
0.0,0.5,0.75249
0.0,0.5,1.8984
0.0,0.5,0.64511
0.0,0.5,0.12591
0.0,0.5,0.11863
0.0,0.5,0.2117
0.0,0.5,1.4209
0.0,0.5,0.53957
0.0,0.5,0.32186
0.0,0.5,0.15105
0.0,0.5,0.62833
0.0,0.5,0.56774
0.0,0.5,0.89917
0.0,0.5,0.85311
0.0,0.5,0.35327
0.0,0.5,0.46601
0.0,0.5,0.44313
0.0,0.5,0.25836
0.0,0.5,0.08618
0.0,0.5,0.17131
0.0,0.5,0.37887
0.0,0.5,0.07026
0.0,0.5,0.45906
0.0,0.5,0.44105
0.0,0.5,0.11748
0.0,0.5,1.73321
0.0,0.5,0.24656
0.0,0.5,0.36812
0.0,0.5,2.78662
0.0,0.5,0.28595
0.0,0.5,0.70247
0.0,0.5,0.30125
0.0,0.5,2.43075
0.0,0.5,0.16029
0.0,0.5,0.25084
0.0,0.5,0.92724
0.0,0.5,0.40867
0.0,0.5,0.25755
0.0,0.5,1.25285
0.0,0.5,0.19958
0.0,0.5,0.08364
0.0,0.5,1.1763
0.0,0.5,1.02548
0.0,0.5,0.1704
0.0,0.5,0.38534
0.0,0.5,1.76615
0.0,0.5,0.39537
0.0,0.5,0.17321
0.0,0.5,1.65215
0.0,0.5,0.24495
0.0,0.5,1.42745
0.0,0.5,0.68762
0.0,0.5,0.79372
0.0,0.5,1.39796
0.0,0.5,0.18408
0.0,0.5,0.55703
0.0,0.5,0.66251
0.0,0.5,0.85491
0.0,0.5,0.85609
0.0,0.5,0.533
0.0,0.5,0.38379
0.0,0.5,0.14019
0.0,0.5,1.2939
0.0,0.5,1.26221
0.0,0.5,0.06101
0.0,0.5,1.11374
0.0,0.5,0.34877
0.0,0.5,1.48129
0.0,0.5,0.09056
0.0,0.5,1.5706
0.0,0.5,1.03711
0.0,0.5,0.18404
0.0,0.5,1.39256
0.0,0.5,0.35697
0.0,0.5,0.08042
0.0,0.5,0.61078
0.0,0.5,1.21004
0.0,0.5,0.61155
0.0,0.5,0.07766
0.0,0.5,0.39182
0.0,0.5,0.21333
0.0,0.5,0.53144
0.0,0.5,1.41763
0.0,0.5,0.85673
0.0,0.5,0.3387
0.0,0.5,1.39302
0.0,0.5,0.27901
0.0,0.5,0.63907
0.0,0.5,0.95858
0.0,0.5,1.30498
0.0,0.5,0.3098
0.0,0.5,1.02832
0.0,0.5,0.41432
0.0,0.5,2.15868
0.0,0.5,1.55264
0.0,0.5,0.05499
0.0,0.5,0.33278
0.0,0.5,0.68406
0.0,0.5,0.03355
0.0,0.5,1.72915
0.0,0.5,0.52682
0.0,0.5,0.68381
0.0,0.5,0.60324
0.0,0.5,1.8156
0.0,0.5,0.09438
0.0,0.5,0.53
0.0,0.5,1.87386
0.0,0.5,0.33169
0.0,0.5,0.11191
0.0,0.5,0.32294
0.0,0.5,0.89603
0.0,0.5,0.4769
0.0,0.5,0.1637
